utc_month,departure,arrival,manifestations
2026-02,SIG,SJU,1
2026-02,SIG,,1
2026-03,BQN,,1
2026-03,ROW,,1
2026-03,SIG,ARE,1
2026-03,SIG,,1
2026-04,ARE,,1
2026-04,BQN,SIG,2
2026-04,BQN,,1
2026-04,CPX,SIG,1
2026-04,CPX,,1
2026-04,JBQ,BQN,1
2026-04,JBQ,,1
2026-04,MAZ,JBQ,1
2026-04,NRR,,1
2026-04,SIG,ARE,1
2026-04,SIG,BQN,1
2026-04,SIG,MAZ,1
2026-04,SIG,NRR,1
2026-04,SIG,SIG,4
2026-04,SIG,SJU,1
2026-04,SIG,,17
2026-04,SJU,SIG,1
2026-04,,,6
2026-06,FAJ,,1
2026-06,NRR,SIG,1
2026-06,SIG,SIG,1
2026-06,SIG,,1
2026-06,SJU,SVD,1
2026-07,AZS,SIG,1
2026-07,EPS,,1
2026-07,PLS,PUJ,1
2026-07,PPM,GGT,1
2026-07,QLD,FXE,1
2026-07,ROW,,4
2026-07,SBH,SIG,1
2026-07,SFG,SBH,1
2026-07,SIG,ARE,1
2026-07,SIG,SFG,1
2026-07,SIG,SIG,7
2026-07,SIG,SJU,2
2026-07,SIG,STI,1
2026-07,SIG,VQS,1
2026-07,SIG,,3
2026-07,SJU,SIG,2
2026-07,STI,STI,1
2026-07,VQS,SIG,1
2026-08,AZS,SIG,1
2026-08,FLL,,1
2026-08,FXE,GGT,1
2026-08,GGT,CRI,1
2026-08,GGT,PLS,1
2026-08,GGT,,2
2026-08,LAL,FXE,1
2026-08,LAL,LAL,1
2026-08,PLS,PUJ,1
2026-08,PLS,,2
2026-08,PUJ,AXA,1
2026-08,PUJ,,1
2026-08,ROW,,3
2026-08,SIG,AZS,1
2026-08,SIG,SIG,1
2026-08,SIG,,1
2026-08,,,5
2026-09,BTV,WBW,1
2026-09,FLL,TYM,1
2026-09,FLL,,1
2026-09,POP,PUJ,1
2026-09,POP,,1
2026-09,SIG,SIG,1
2026-09,TRI,,2
2026-09,WBW,EKN,1
2026-09,,,1
