phase,path,target_owner,planned_action,change_type,compatibility_strategy,required_tests,approval_state,open_pr_overlap,blocking_treatment
P0-INTEGRATED,.github/workflows/satim-route-findings-ci.yml,Legacy/FPIM CI,Qualify route-findings workflow as Legacy/FPIM and preserve historical workflow identity.,workflow later,Retain path; change display semantics only after package reclassification.,YAML parse; package tests; legacy CLI smoke.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#172;#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P0-INTEGRATED,.github/workflows/satim-runtime-smoke-tests.yml,Legacy orchestrator CI,Qualify runtime smoke workflow by layer ownership instead of treating the integrated stack as SATIM.,workflow later,Retain workflow path and legacy command during transition.,YAML parse; owner-aware smoke receipts.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#172;#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P0-INTEGRATED,docs/MODULE_SPEC_SATIM.md,SATIM,Remove ownership claim over all L1-L5 and integrated tools; list only actual imagery components.,documentation,Reference Legacy orchestrators.,Path-owner conformance test.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,docs/SATIM_ENGINE_PROTOCOL_INTERFACE.md,Legacy orchestrator,Rename interface to Visual Calibration Orchestrator and assign each layer owner.,documentation,Legacy command and bundle names retained.,Doc examples; runtime smoke unchanged.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,fr24/calibration/run_phase2.py,Legacy multi-owner orchestrator,Reclassify the raster→GIS→multidate chain as an orchestrator across SATIM and CORRIM.,code later,Keep module path and CLI until owner adapters exist.,Deterministic ledger; import boundary; owner receipts.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,fr24/calibration/satim_gis_overlay.py,CORRIM,Move or classify GIS/infrastructure association scoring under CORRIM.,code later,Compatibility shim may preserve import path.,CORRIM association tests; no SATIM direct significance scoring.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,fr24/satim_engine.py,Legacy orchestrator,Keep as multi-owner orchestration wrapper; rename display metadata and add owner-aware layer receipts.,code later,Keep module path/command.,Protocol parity; deterministic bundle; layer ownership assertions.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#110;#93,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P0-INTEGRATED,fr24/satim_engine_core.py,Legacy orchestrator,Separate orchestration contracts from SATIM domain semantics.,code later,Keep import path.,Protocol parity and import-boundary tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#110;#93,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P0-INTEGRATED,schemas/satim/satim_error_ledger.schema.json,Core/Legacy,Create owner-neutral processing-error ledger v2.,schema later,V1 remains readable.,Adapter and deterministic serialization tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,schemas/satim/satim_gis_join_ledger.schema.json,CORRIM/Legacy,Reclassify GIS join output as CORRIM association evidence.,schema later,V1 legacy name remains accepted.,Schema and owner tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,schemas/satim/satim_graph_edges.schema.json,FPIM/CORRIM/Legacy,Split route graph edges from cross-domain association edges.,schema later,V1 remains immutable and accepted through explicit legacy adapter.,Positive/negative schema tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,schemas/satim/satim_graph_nodes.schema.json,FPIM/Legacy,Introduce FPIM graph-node v2 schema and SATIM legacy alias adapter.,schema later,V1 remains accepted input.,Schema parity and adapter round-trip.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,schemas/satim/satim_master_file_manifest.schema.json,Legacy orchestrator,Create owner-neutral manifest v2 and retain SATIM v1 as legacy input.,schema later,Do not rewrite v1 or historical ledgers.,V1/V2 adapter and manifest round-trip.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,schemas/satim/satim_track_ledger.schema.json,FPIM/Legacy,Introduce versioned FPIM track-ledger schema and legacy SATIM alias adapter.,schema,Never rename immutable historical ledgers in place.,Schema parity; adapter round-trip; manifest compatibility.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-INTEGRATED,tools/satim_engine/**,Legacy pending decomposition,Reclassify as Legacy Integrated Track/Visual Analysis Engine; inventory files by RLSM/FPIM/SATIM/CORRIM owner before split.,package/docs/code later,Keep package name and satim CLI as aliases during deprecation window.,Package tests; CLI parity; byte-stable legacy outputs; new-owner adapters.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#93,BLOCK_UNTIL_PR_93_INTEGRATED_ENGINE_POSTURE_IS_ADJUDICATED
P0-INTEGRATED,tools/satim_route_findings/**,Legacy/FPIM,Reclassify route findings utility; rename future outputs to FPIM terms; split graph association if cross-domain.,package/docs/code later,Keep command alias and old input filenames.,Read-only behavior; output parity; ledger adapters.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-MISSION,README.md,Program,Remove active mission-inference claims; update ILAP and engine names.,documentation,Mention Legacy compatibility explicitly.,README term scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#157;#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P0-MISSION,docs/MODULE_SPEC_FPIM.md,FPIM,Replace technical-debt acceptance with blocking nonconformance and canonical sourced-label rule.,documentation,Historical note retained.,Terminology scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P0-MISSION,schemas/aircraft_intelligence_report.schema.json,FPIM,Create versioned v2 report separating sourced mission labels from prohibited inferred mission fields.,schema,Keep v1 readable; emit v2 by default after migration.,Positive/negative schema tests; v1→v2 adapter tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P0-MISSION,src/skywatcher/fpim/aircraft_profile.py,FPIM/Legacy,Remove or feature-disable aircraft-type-to-mission deduction from active lookup; preserve authoritative sourced labels.,runtime code,Legacy adapter may expose old fields only with explicit legacy/inferred status.,FPIM no-intent tests; profile compatibility; migration fixtures.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P1-CONTRACTS,tests/test_rlsm_operational_ontology.py,Core/RLSM,Update tests for extraction-only readiness and new alias authority.,tests later,Keep legacy compatibility fixtures explicit.,Focused ontology suite.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-CONTRACTS,tests/test_satim_operationalization_phase1_contracts.py,SATIM/FPIM/CORRIM,"Add owner-partition assertions for visual, overlay, and GIS fields.",tests later,Retain v1 fixtures as legacy fixtures.,Focused contract suite.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-CONTRACTS,tests/test_schema_satim_fpim_corrim_contracts.py,Core/domains,Add v2 fixtures and v1 compatibility tests; replace ambiguous score fields.,tests,Keep legacy fixtures explicitly versioned.,Full contract suite.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-CORRIM,docs/MODULE_SPEC_CORRIM.md,CORRIM,Use association terminology and threshold registry; define ILAP/AASB canonical names.,documentation,Legacy API names noted.,Term scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-CORRIM,schemas/corrim_correlation_output.schema.json,CORRIM,Create v2 association contract with method/version/null/alternatives/contradictions.,new schema,V1 accepted through adapter.,Schema tests; review-only assertions.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-CORRIM,src/skywatcher/corrim/aasb_airspace_bridge.py,CORRIM adapter,Rename confidence_score to edge_support_score/support_ratio and bind formula.,code/output contract,Emit legacy column during transition or version CSV.,Golden CSV; schema/consumer parity.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-CORRIM,src/skywatcher/corrim/ilap_airspace_bridge.py,CORRIM,"Rename heuristic fields, remove identity priority effect, scope/omit mission label, bind threshold IDs.",code/output contract,Version output filenames/fields; legacy export adapter.,Golden exports; thresholds; identity-independence; no-intent tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-FPIM,schemas/fpim_output_contract.schema.json,FPIM,Create v2 finding contract with geometry-specific POI match fields and confidence metadata.,new schema,V1 accepted through adapter.,Schema tests; label-independence tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-RLSM,configs/endpoint_recall_audit.yaml,RLSM/FPIM,Version endpoint cue terms; preserve candidate-only endpoint semantics and use source-overlay naming.,config later,Legacy aliases remain readable.,Ontology gate and endpoint negatives.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-RLSM,configs/rlsm_operational_ontology.yaml,RLSM/Core,Version extraction ontology; remove mission/behavior/Spiderweb terms from extraction readiness dependencies.,config,Legacy compatibility gate may load them separately.,Ontology gate tests; missing-registry negatives.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-RLSM,data/rlsm/HANDOFF.md,RLSM,Move semantic unlabeled ground-feature lane to SATIM/Legacy documentation; retain localization boundary.,documentation/runbook,No operator data deletion.,Runbook command check; stage accounting tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#171,BLOCK_UNTIL_PR_171_IS_MERGED_CLOSED_OR_REBUILT_ON_POST_G0_MAIN
P1-RLSM,docs/MATURITY_AUDIT.md,Documentation,Qualify historical RLSM collision and link v2 ontology.,documentation,Preserve audit history.,Term scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-RLSM,federation.json,Program/Core,Correct RLSM expansion and capability ownership descriptions.,metadata,No command changes in terminology PR.,JSON parse; federation drift checks.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P1-RLSM,fr24/rlsm_unlabeled.py,SATIM or Legacy,Reclassify semantic blob detector; default-disabled and clearly provisional.,code classification,Preserve command for explicit legacy runs.,Owner test; output provenance; no default-run test.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P1-RLSM,frontend/src/pages/Routes.jsx,Frontend,Replace route-line-segment expansion with canonical RLSM or route-analysis wording.,UI copy,No API change.,Frontend tests; snapshots if used.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-RLSM,src/skywatcher/core/ontology_gate.py,Core,Split extraction readiness from legacy/source-label normalization; assert no derived mission.,code,Preserve old CLI result through versioned compatibility mode.,Gate tests; alias tests; no-intent tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,docs/ARTIFACT_TAXONOMY.md,SATIM,Replace STRUCTURAL_SIGNAL with STRUCTURAL_FEATURE_CANDIDATE.,documentation,Historical alias noted.,Term scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,docs/SATIM_CALIBRATION.md,SATIM,Qualify SHADOW and mark all queue/confidence cutoffs as candidate threshold IDs.,documentation,Keep existing calibration behavior until separate threshold change approved.,Docs/config consistency tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,docs/SATIM_TRACK_LINE_VS_TILE_SEAM_RULES.md,SATIM/FPIM,Rename TRACK_LINE to SOURCE_OVERLAY_TRACK_LINE and state FPIM ownership of extracted route geometry.,documentation later,Retain historical term in alias note.,Terminology scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,docs/SKYWATCHER_SATIM_PIPELINE_SPEC.md,SATIM/Legacy orchestrator,Replace ambiguous labels and separate flight ledger from imagery ledger.,documentation,Legacy layer identifiers retained.,Term scan; example validation.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,fr24/calibration/satim_candidate_extraction.py,SATIM/FPIM,Stop emitting flight-overlay classes as unqualified SATIM imagery classes.,code later,Preserve V1 compatibility mode.,Classifier partition and deterministic output tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,schemas/satim_artifact_assessment_v1.schema.json,SATIM,Leave v1 immutable; create v2 with CONFIRMED_ARTIFACT and threshold/method metadata.,new schema,V1 remains accepted input.,V1/V2 schema tests; adapter.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,schemas/satim_output_contract.schema.json,SATIM,Create v2 finding contract with method-bounded confidence fields.,new schema,V1 accepted through adapter.,Schema tests; S03 adapter compatibility.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,schemas/satim_visual_ledger.schema.json,SATIM/FPIM/CORRIM,"Create v2 split contracts: imagery finding, overlay-track observation, and GIS association.",new schemas later,V1 remains immutable and accepted via adapter.,V1/V2 partition and no-field-loss tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,schemas/tile_artifact.schema.json,SATIM,Create versioned schema with canonical candidate label.,schema,V1 adapter preserves old enum.,Schema tests; adapter round-trip.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,schemas/tile_artifact_ledger.schema.json,SATIM/FPIM,Replace bare track_line with source_overlay_track_line and separate overlay evidence from imagery artifacts.,new schema later,V1 remains immutable.,Schema and adapter tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,scripts/classify_satim_artifacts.py,SATIM,Emit canonical label and preserve original legacy value in provenance.,code,Optional legacy-output mode.,Classifier tests; deterministic outputs.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,src/skywatcher/satim/provisional_signal.py,SATIM,Add v2 adapter while retaining deterministic v1 behavior.,code,No mutation of historical records.,Determinism; v1/v2 fixtures; no promotion.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-SATIM,tests/test_satim_artifact_classifier.py,SATIM,"Test canonical label, no auto-confirmation, and compatibility adapter.",tests,Additive during transition.,Focused suite.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-VOCAB,configs/behavior_vocab.yaml,FPIM/CORRIM,Version with candidate/neutral labels; move cross-aircraft association to CORRIM.,config,Map legacy values explicitly.,Vocabulary migration; owner tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-VOCAB,configs/mission_vocab.yaml,Core/Legacy,Rename/scope to sourced mission-label vocabulary or V4 hypothesis vocabulary only.,config,Keep legacy aliases; no derived assignment.,Normalization provenance tests; no-inference tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-VOCAB,configs/project_language_bridge.yaml,Core/Legacy,"Version bridge, separate aliases from canonical values, disambiguate status and shadow terms.",config,Preserve raw phrase and search aliases.,Alias round-trip; no canonical metaphor emissions.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P1-VOCAB,configs/spiderweb_terms.yaml,Legacy,Supersede as historical alias registry; remove active authority.,config,Keep file readable by legacy normalizers.,Alias resolution; canonical-output assertions.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-ALIASES,configs/skywatcher_legacy_aliases_v2.yaml,Core/Legacy,Add machine-readable alias registry and canonical replacements.,new config,Legacy input accepted; canonical output emitted.,Alias resolution and ambiguity tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-CHECKS,.github/workflows/ci.yml,CI,Add terminology/ownership conformance test only after scripts are approved.,workflow later,No runtime behavior change.,Python matrix and no false-positive baseline.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#172;#110;#90;#89,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P2-HISTORY,data/test_runs/SMOKE_TEST_LEDGER.md,Historical,Do not rewrite historical test ledger; alias externally.,no-write historical,Immutable historical record.,Checksum preservation.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-HISTORY,docs/ROAD_TO_100.md,Program documentation,Reconcile active roadmap terminology only after PR #110 disposition.,documentation later,Do not disturb Phase-0 evidence history.,Term scan and PR-overlap check.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P2-HISTORY,docs/SATIM_OPERATIONALIZATION_PHASE1_PATCH_PLAN.md,Historical,Do not rewrite; document supersession externally.,no-write historical,Immutable historical record.,Checksum preservation.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-HISTORY,docs/SATIM_PHASE2_IMPLEMENTATION_LEDGER.md,Historical,Do not rewrite; add supersession reference from G0/Gx documentation.,no-write historical,Immutable historical record.,Checksum preservation.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-HISTORY,docs/satim/ROUTE_FINDINGS_ANALYSIS_PR_BLUEPRINT.md,Legacy/FPIM/CORRIM,Mark superseded or split by owner.,documentation,Preserve historical decisions.,Term scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-HISTORY,docs/satim/ROUTE_FINDINGS_INTEGRATION_PLAN.md,Legacy/FPIM,Mark superseded or rewrite target ownership.,documentation,Preserve historical decisions.,Term scan.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-HISTORY,docs/satim/SATIM_PROGRESS_WIRING_PATCH_PLAN.md,Historical,Do not rewrite; document legacy integrated-ledger meaning externally.,no-write historical,Immutable historical record.,Checksum preservation.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-HISTORY,manifests/satim/post_baseline_output_sha256.csv,Historical,Do not modify; document alias mapping externally.,no-write historical,Immutable artifact.,Checksum preservation.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-HISTORY,tools/satim_engine/docs/QUERY_PLAYBOOK.md,Legacy,Qualify integrated ledgers and future owner names.,documentation,Old filenames retained as aliases.,Example query checks.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
P2-THRESHOLDS,configs/skywatcher_threshold_registry_v2.yaml,Core,Add versioned threshold registry from the frozen seed.,new config,No numerical behavior change in terminology-only PR.,Schema/config validation; missing-status fail-closed tests.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
