binding_id,canonical_skill_id,direction,ontology_object_type,object_subtype,object_term_status,object_owner,required_or_conditional,allowed_visibility_classes,allowed_evidence_tiers,handoff_requirement,mission_or_intent_inference_authorized,notes
BIND-028,rlsm-fr24-screenshot-inventory,OUTPUT,OBSERVATION,SOURCE_AVAILABILITY_OBSERVATION,SKILL_GOVERNANCE_SUBTYPE,RLSM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-029,rlsm-fr24-screenshot-inventory,OUTPUT,EXTRACTED_OBSERVABLE,SCREENSHOT_INVENTORY_RECORD,SKILL_GOVERNANCE_SUBTYPE,RLSM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-030,corrim-ilap-airspace-bridge,INPUT,FINDING,FPIM_ROUTE_GEOMETRY_FINDING,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-031,corrim-ilap-airspace-bridge,INPUT,SOURCE_ARTIFACT,INFRASTRUCTURE_REFERENCE,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-032,corrim-ilap-airspace-bridge,INPUT,MEASUREMENT,PROXIMITY_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-033,corrim-ilap-airspace-bridge,OUTPUT,ASSOCIATION,ILAP,ONTOLOGY_CANONICAL,CORRIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,
BIND-034,repo-native-visual-calibration-orchestrator,INPUT,SOURCE_ARTIFACT,CALIBRATION_INPUT_BUNDLE,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-035,repo-native-visual-calibration-orchestrator,OUTPUT,NONE_DIRECT_ANALYTICAL,GOVERNANCE_RECEIPT_AND_HANDOFFS_ONLY,SKILL_GOVERNANCE_SUBTYPE,SKYWATCHER_ORCHESTRATION,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,NONE_DIRECT_ANALYTICAL denotes governance-only behavior and is not an ontology evidence object. Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-036,legacy-integrated-track-visual-analysis-engine,INPUT,SOURCE_ARTIFACT,LEGACY_INTEGRATED_INPUT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-037,legacy-integrated-track-visual-analysis-engine,OUTPUT,SOURCE_ARTIFACT,LEGACY_INTEGRATED_OUTPUT,SKILL_GOVERNANCE_SUBTYPE,LEGACY,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-038,satim-imagery-evidence-analyzer,INPUT,SOURCE_ARTIFACT,IMAGERY_SOURCE,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-039,satim-imagery-evidence-analyzer,INPUT,EXTRACTED_OBSERVABLE,LOCALIZED_IMAGE_REGION,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-040,satim-imagery-evidence-analyzer,OUTPUT,OBSERVATION,IMAGERY_FEATURE_OBSERVATION,SKILL_GOVERNANCE_SUBTYPE,SATIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-041,satim-imagery-evidence-analyzer,OUTPUT,MEASUREMENT,IMAGERY_FEATURE_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,SATIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-042,satim-imagery-evidence-analyzer,OUTPUT,FINDING,STRUCTURAL_FEATURE_CANDIDATE,ONTOLOGY_CANONICAL,SATIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,
BIND-043,fpim-flight-path-evidence-analyzer,INPUT,OBSERVATION,AIRCRAFT_POSITION_OBSERVATION,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-044,fpim-flight-path-evidence-analyzer,INPUT,EXTRACTED_OBSERVABLE,SOURCE_OVERLAY_TRACK_LINE,ONTOLOGY_CANONICAL,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,
BIND-045,fpim-flight-path-evidence-analyzer,OUTPUT,MEASUREMENT,TRACK_GEOMETRY_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-046,fpim-flight-path-evidence-analyzer,OUTPUT,MEASUREMENT,ROUTE_RECURRENCE_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-047,fpim-flight-path-evidence-analyzer,OUTPUT,FINDING,FPIM_ROUTE_GEOMETRY_FINDING,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-048,fpim-flight-path-evidence-analyzer,OUTPUT,FINDING,CORRIDOR_FOLLOWING,ONTOLOGY_CANONICAL,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,
BIND-049,fpim-flight-path-evidence-analyzer,OUTPUT,FINDING,TRACK_TERMINATION_EVENT_CANDIDATE,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-050,corrim-flight-gis-association-analyzer,INPUT,FINDING,SATIM_IMAGERY_FINDING,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-051,corrim-flight-gis-association-analyzer,INPUT,FINDING,FPIM_FLIGHT_PATH_FINDING,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-052,corrim-flight-gis-association-analyzer,INPUT,SOURCE_ARTIFACT,GIS_REFERENCE,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-053,corrim-flight-gis-association-analyzer,OUTPUT,ASSOCIATION,FLIGHT_GIS_ASSOCIATION,SKILL_GOVERNANCE_SUBTYPE,CORRIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-054,skywatcher-airspace-evidence-assembler,INPUT,SOURCE_ARTIFACT,EVIDENCE_SOURCE_ARTIFACT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
